severity,subjects,components,date
Recall,Ford/tire,Tires,2001-05-24
Recall,Ford/trw steering systems/drag link,Steering,2001-05-11
Recall,Ford/seat belt buckles,Seat Belts,2001-04-27
Recall,Ford/ball joint assembly,Suspension,2001-04-11
Recall,Ford/liftgate glass bracket,Visibility,2001-04-10
Large Recall,Ford/fuel tank cracks,"Fuel System, Gasoline",2001-04-05
Recall,Ford/seat back recliner handle,Seats,2001-03-28
Recall,Ford/fuel filler pipe electrical grounding,"Fuel System, Gasoline",2001-03-27
Recall,Ford/front brake hose,"Service Brakes, Hydraulic",2001-03-23
Recall,Ford/headlamp switch,Exterior Lighting,2001-03-12
Large Recall,Ford/foot pedal grease/stop lamps,Exterior Lighting,2001-03-12
Recall,Ford/air bag module,Air Bags,2001-03-12
Recall,Ford/fmvss 108/stop lamps,Exterior Lighting,2001-02-28
Recall,Ford/transaxle attaching bolts,Power Train,2001-02-26
Recall,Ford/power brake booster/master cylinder,"Service Brakes, Hydraulic",2001-02-14
Large Recall,Ford/truck tires,Tires,2001-02-14
Large Recall,Ford/battery cable routing,Electrical System,2001-02-06
Recall,Ford/brake lamp switch,Exterior Lighting,2001-02-06
Large Recall,Ford/fuel tank vent hose,"Fuel System, Gasoline",2001-01-02
Large Recall,Ford/integrated air bag monitor contamination,Air Bags,2002-12-09
Recall,Ford/transmission shift cable,Power Train,2002-11-21
Large Recall,Ford/battery cables,Electrical System,2002-11-06
Large Recall,Ford/steering pinch bolts,Steering,2002-11-06
Large Recall,Ford/fuel tank/police vehicles,"Fuel System, Gasoline",2002-10-15
Large Recall,Ford/brake and accelerator pedal distance,"Service Brakes, Hydraulic",2002-10-02
Recall,Ford/fmvss 120/label,Equipment,2002-09-09
Recall,Ford/natural gas fuel tank,"Fuel System, Other",2002-09-06
Recall,Ford/driver's seat belt,Seat Belts,2002-06-14
Recall,Ford/speed control cable,Vehicle Speed Control,2002-04-18
Large Recall,Ford/brake lines,"Service Brakes, Hydraulic",2002-04-04
Recall,Ford/parking brake cable button,Parking Brake,2002-03-11
Large Recall,Ford/trailer-tow connector,N/A,2002-03-11
Recall,Ford/electric vehicles/brake master cylinder,"Service Brakes, Hydraulic",2002-03-11
Recall,Ford/rear axle differential case,Power Train,2002-02-04
Recall,Ford/fmvss 121/air brake lines,"Service Brakes, Air",2002-01-18
Recall,Ford/fmvss 120/label,Equipment,2002-01-08
Large Recall,Ford/seat belt buckle cover,Seat Belts,2003-12-05
Large Recall,Ford/stalling,N/A,2003-11-19
Recall,Ford/natural gas fuel tank,"Fuel System, Other",2003-11-06
Large Recall,Ford/fmvss 225/floor to seat latch,Seats,2003-11-06
Recall,Ford/power steering line,Steering,2003-11-06
Recall,Ford/pitman arm to steering gear retaining nut,Steering,2003-09-22
Recall,Ford/fmvss 121/air brakes,N/A,2003-08-28
Recall,Ford/fuel tank brackets,"Fuel System, Gasoline",2003-08-05
Recall,Ford/tire placard label,Equipment,2003-08-05
Recall,Steel wheels,N/A,2003-08-05
Large Recall,Ford/speed control cable,Vehicle Speed Control,2003-08-05
Large Recall,Ford/high back seats,Seats,2003-08-05
Large Recall,Ford/steering gear,Steering,2003-05-27
Recall,Ford/air bag deployment,Air Bags,2003-04-09
Recall,Ford/wheels,N/A,2003-04-07
Recall,Ford/fmvss 212/windshield mounting,Visibility,2003-03-10
Recall,Ford/control arms,Suspension,2004-12-22
Large Recall,Ford/fmvss 206/rear liftgate door,Latches/locks/linkages,2004-12-20
Recall,Ford/fmvss 120/tire label,Equipment,2004-12-20
Large Recall,Ford/accelerator cable,Vehicle Speed Control,2004-12-07
Large Recall,Ford/rear liftgate glass,Structure,2004-09-13
Recall,Ford/fuel tank,"Fuel System, Gasoline",2004-09-13
Large Recall,Ford/abs brake system,Electrical System,2004-09-13
Large Recall,Ford/air filter,N/A,2004-09-13
Recall,"Ford/hubs, rotors, wheel bearings",Wheels,2004-09-13
Recall,Ford/fuel delivery module,N/A,2004-08-30
Large Recall,Ford/front coil springs,Suspension,2004-07-15
Recall,Ford/frame,Structure,2004-07-14
Recall,Ford/power adjustable seat,Seats,2004-07-08
Recall,Ford/battery terminal to engine block connection,Electrical System,2004-07-07
Recall,Ford/rear axle shaft fracture,Suspension,2004-07-07
Recall,Ford/fmvss 120/incorrect tires,N/A,2004-05-17
Recall,Ford/certification label,Equipment,2004-05-13
Recall,Ford/fuel tank leak,"Fuel System, Gasoline",2004-04-26
Large Recall,Ford/engine stalling,Power Train,2004-04-06
Large Recall,Ford/air filter paper/fire,N/A,2004-03-02
Large Recall,Ford/brake light switch,Exterior Lighting,2004-03-02
Large Recall,Fuel tank strap breakage,"Fuel System, Gasoline",2005-11-09
Recall,Positive battery cable,Electrical System,2005-11-09
Recall,Park pawl guide plate,Power Train,2005-11-09
Large Recall,Wiper motor grease,Visibility,2005-11-09
Recall,Cab entry step reinforcement,N/A,2005-11-09
Recall,Park brake anchor bolt/bosch,Parking Brake,2005-09-19
Large Recall,Speed control deactivation switch,N/A,2005-09-07
Recall,Tires,Tires,2005-07-06
Large Recall,Engine stalling,Electrical System,2005-06-10
Recall,Fuel jumper line,"Fuel System, Gasoline",2005-06-09
Large Recall,Dash outer sound insulator,Electrical System,2005-05-09
Recall,Aluminum wheels/accuride,N/A,2005-05-04
Recall,Steering gear,Steering,2005-04-06
Recall,Fuel tank,"Fuel System, Gasoline",2005-03-18
Recall,Brake line,"Service Brakes, Hydraulic",2005-03-14
Large Recall,Rear door latches,Latches/locks/linkages,2005-02-01
Large Recall,Speed control deactivation switch fires,Vehicle Speed Control,2005-01-27
Recall,Injection pressure regulator connector,Engine And Engine Cooling,2006-12-12
Recall,Windshield retention/fmvss 212,Visibility,2006-11-15
Recall,Drivetrain intermediate shaft,Power Train,2006-10-05
Large Recall,Door latch mechanisms,Latches/locks/linkages,2006-10-05
Large Recall,Speed control deactivation switch/supplement,N/A,2006-08-01
Recall,High back seats,Seats,2006-04-10
Recall,Cellular hands-free phone option/fmvss 208,Electrical System,2006-04-10
Recall,Accelerator pedal shield,Vehicle Speed Control,2006-04-07
Large Recall,Fmvss 201/upper interior head impact,Seats,2006-04-07
Recall,Power liftgates,Structure,2006-03-09
Large Recall,Instrument cluster software/fmvss 135,N/A,2006-02-06
Large Recall,Camshaft position sensor,Engine And Engine Cooling,2007-12-05
Recall,Driver air bag/fmvss 208,Air Bags,2007-11-21
Recall,Fuel pump failure turbocharger/caterpillar,Engine And Engine Cooling,2007-11-20
Recall,Transmission cooler line attachment bolt torque,Power Train,2007-09-26
Large Recall,Speed control deactivation switch,N/A,2007-08-03
Recall,Fuel tank,"Fuel System, Gasoline",2007-06-28
Recall,Hub assembly,Suspension,2007-06-26
Recall,Axle housing/dana,Power Train,2007-06-05
Recall,Brake line routing/fmvss 135,"Service Brakes, Hydraulic",2007-04-26
Recall,Steering gear assembly,N/A,2007-04-25
Large Recall,Abs module electrical wiring harness,"Service Brakes, Hydraulic",2007-04-10
Recall,Power train control module/exhaust system,Power Train,2007-03-26
Recall,Positive battery wire location,Electrical System,2007-03-26
Large Recall,Speed control deactivation switch/supplement,N/A,2007-03-06
Large Recall,Steel wheels,N/A,2007-03-06
Recall,Cracked fuel pump outlet plug/caterpillar,Engine And Engine Cooling,2008-08-25
Recall,Fuel tanks,"Fuel System, Gasoline",2008-07-03
Large Recall,Brake booster vacuum supply tube assembly,"Service Brakes, Hydraulic",2008-05-07
Recall,Fmvss 301/fuel tank bracket installation,"Fuel System, Gasoline",2008-04-25
Recall,Drive shaft,Power Train,2008-04-11
Recall,Fmvss 138/tire pressure,Tires,2008-04-11
Recall,Fmvss 207/driver seat back frame,N/A,2008-02-28
Large Recall,Fmvss 208/neck injury requirements,Air Bags,2008-02-25
Recall,Fuel rail,"Fuel System, Gasoline",2008-02-05
Large Recall,Side door interior door handles,Latches/locks/linkages,2008-02-05
Large Recall,Speed control deactivation switch,Vehicle Speed Control,2008-02-04
Recall,Air brake s-cam lubrication,N/A,2009-12-15
Recall,Inoperative rear lamps,N/A,2009-12-15
Large Recall,Speed control deactivation switch/overheats,N/A,2009-10-13
Recall,Brake stop lamp switch adjustment,Exterior Lighting,2009-06-24
Recall,Frame rail fuel tank guard brackets,"Fuel System, Gasoline",2009-06-23
Recall,Brake stop lamp switch adjustment/fmvss 108,Exterior Lighting,2009-05-05
Recall,Fuel tank protection bracket location,"Fuel System, Gasoline",2009-04-07
Recall,Fractured front spindle,Suspension,2009-02-03
Recall,Body control module,Structure,2010-12-29
Recall,Disabled liftgate lock/fmvss 206,Latches/locks/linkages,2010-10-27
Recall,Fuel line failure,N/A,2010-09-09
Large Recall,Rear axle cracking,Suspension,2010-08-26
Recall,Headliner/fmvss 201,Structure,2010-07-07
Recall,Park rod guide retension pin,Power Train,2010-05-24
Recall,Right hand parking brake cable retention actuator,Parking Brake,2010-05-11
Recall,Front driver & passenger seats manual recliners,Seats,2010-04-20
Recall,Tire and loading information,Tires,2010-01-29
Recall,Transmission shift lever,Power Train,2011-12-08
Large Recall,Fracture wheel studs,Wheels,2011-12-07
Recall,Fuel tank assembly,"Fuel System, Gasoline",2011-11-08
Recall,Bubbles in the windshield/decreased visibility,Visibility,2011-08-26
Large Recall,Fuel tank strap corrosion,"Fuel System, Gasoline",2011-07-29
Recall,Steering column multifunction switch/fmvss 108,Exterior Lighting,2011-07-13
Recall,Fuel tank filler,"Fuel System, Gasoline",2011-07-13
Recall,Air brakes module replacement/fmvss 121,"Service Brakes, Air",2011-05-03
Recall,Driver power seat track assembly,Seats,2011-04-20
Recall,Body control module,Electrical System,2011-02-24
Large Recall,Inadvertent driver air bag deployment,Air Bags,2011-02-23
Recall,Fuel system,"Fuel System, Gasoline",2011-02-21
Recall,Center recliner mechanism/fmvss 207,N/A,2011-02-02
Large Recall,Interior door handle spring failure,Structure,2011-02-01
Large Recall,Corrosion fractures of front lower control arm,Structure,2011-01-26
Recall,Overheat may cause fluid leaks resulting in fire,N/A,2012-12-03
Recall,Low beam headlamp/fmvss 108,Exterior Lighting,2012-11-30
Large Recall,Passenger side curtain air bag/fmvss 208,N/A,2012-10-05
Recall,Cracked fuel line/fuel leak,"Fuel System, Gasoline",2012-09-07
Recall,Cup (freeze) plug dislodging,N/A,2012-09-04
Recall,Unapproved steering gear adapter plate fastener,N/A,2012-08-29
Recall,Loose windshield wiper arm pivot pin,Visibility,2012-08-02
Large Recall,Speed control cable connector interference,N/A,2012-07-26
Do Not Drive,Engine compartment fuel line,"Fuel System, Gasoline",2012-07-18
Recall,Windshield primer,Visibility,2012-07-06
Recall,Pedal package clearance variation,"Service Brakes, Hydraulic",2012-07-06
Recall,Rear brake rotor transportation bolts,"Service Brakes, Air",2012-05-31
Recall,"""prndl"" illumination and backup lamp activation",Exterior Lighting,2012-05-03
Recall,Rear axle cracking-virginia vehicles,Power Train,2012-05-03
Recall,Corrosion fractures of front lower control arm,Suspension,2012-05-03
Recall,Rear axle cracking puerto rico,Suspension,2012-05-03
Recall,Occupant classification system,Air Bags,2012-05-03
Large Recall,Passenger side wiper motor connector,Visibility,2012-04-05
Recall,Service brakes/traction relay valve,"Service Brakes, Air",2012-03-07
Recall,2nd row head restraint support brackets/fmvss 202,Seats,2012-02-02
Recall,Prndl cable,Power Train,2012-02-02
Recall,Axles/steering arm bolts/meritor,Power Train,2012-01-12
Large Recall,Antilock brake system electrical connectors,"Service Brakes, Hydraulic",2012-01-09
Large Recall,Torque converter malfunctions,Power Train,2012-01-09
Large Recall,Engine overheating may result in fire,N/A,2013-11-25
Recall,Engine compartment fuel line may leak,"Fuel System, Gasoline",2013-11-25
Recall,Transmission can be shifted out of park/fmvss 114,Power Train,2013-11-25
Recall,Sudden loss of motive power,Power Train,2013-10-30
Recall,Ambulance engine stall,N/A,2013-10-30
Recall,No audible chime with open driver door/ fmvss 114,Electrical System,2013-10-17
Large Recall,Steering column lower bearing may separate,N/A,2013-08-29
Recall,Side lights inoperable/fmvss 108,N/A,2013-08-01
Recall,Energy absorber between the headliner/fmvss 201,N/A,2013-07-10
Recall,Child safety lock may become deactivated,N/A,2013-06-26
Large Recall,Fuel delivery module may crack and leak,N/A,2013-05-31
Recall,Electrical insulation cracking on engine heater,N/A,2013-05-31
Recall,Reduced steering control,N/A,2013-05-31
Recall,Fuel tank may leak at seam,"Fuel System, Gasoline",2013-03-27
Large Recall,Corrosion of third row seat attachment,N/A,2013-03-07
Recall,Driver side child lock may not function,N/A,2013-03-07
Recall,Passenger front air bag inflator may rupture,N/A,2014-12-12
Recall,Fuel pressure sensor may leak,N/A,2014-12-05
Recall,Plastic sliding door panel separation,Structure,2014-12-05
Recall,Key removal when not in park/fmvss 114,Power Train,2014-11-18
Large Recall,Improper airbag suppression/fmvss 208,N/A,2014-11-07
Recall,Fuel and vapor lines may abrade,"Fuel System, Gasoline",2014-11-05
Recall,Improper repair of upper intermediate shaft,Steering,2014-11-05
Recall,Fuel filter bracket mounting,"Fuel System, Gasoline",2014-11-05
Recall,"Brake lights may fail, or be slow, to illuminate",Exterior Lighting,2014-11-05
Large Recall,Fuel tank may leak due to corrosion,"Fuel System, Gasoline",2014-10-29
Recall,Passenger safety belt tension sensor/fmvss 208,N/A,2014-10-17
Large Recall,Air bags may not deploy as intended,N/A,2014-09-26
Recall,Motor electronics coolant pump failure,N/A,2014-09-03
Recall,Fuel filter shell may separate and cause stall,N/A,2014-09-02
Recall,Fuel delivery module may crack,"Fuel System, Gasoline",2014-09-02
Do Not Drive,Steering gears missing ball bearings,N/A,2014-08-22
Large Recall,Engine wiring splices may cause stall,Electrical System,2014-08-11
Recall,Rear caliper brake hoses may leak,"Service Brakes, Hydraulic",2014-08-06
Recall,Epoxy reinforcement missing from sliding doors,Structure,2014-08-06
Recall,Air bubbles in windshield/fmvss 205,Visibility,2014-08-06
Recall,Halfshaft disengagement/loss of drive/roll away,Power Train,2014-07-02
Recall,Electrical junction block short circuit,N/A,2014-07-02
Recall,Fuel tank may leak,"Fuel System, Gasoline",2014-07-02
Recall,Panorama roof glass assembly bond,Visibility,2014-07-02
Recall,Brake calipers may leak,"Service Brakes, Hydraulic",2014-07-02
Recall,Brake resevoir cap incorrect/fmvss 135,Equipment,2014-07-02
Do Not Drive,Loss of steering control,Steering,2014-06-12
Large Recall,Loss of electric power steering assist,Steering,2014-05-29
Large Recall,Water intrusion may cause license plate lamp fire,N/A,2014-05-29
Large Recall,Loss of electric power steering assist,Steering,2014-05-29
Recall,Driver side accessory floor mat may trap pedal,N/A,2014-05-29
Large Recall,Side-curtain rollover air bag deployment delay,Air Bags,2014-05-07
Large Recall,Doors may open while driving,Structure,2014-05-07
Recall,Transmission calibration error/fmvss 102,Power Train,2014-04-17
Recall,Welds on seat assemblies may fail/fmvss 207,Seats,2014-04-02
Large Recall,Lower control arm corrosion-regional recall,Structure,2014-04-02
Recall,Fuel leak from cracking in the fuel pulse damper,N/A,2014-01-06
Recall,Replacement steering gears may lock steering,N/A,2014-01-06
Recall,Rear brake hoses may chafe and leak air,"Service Brakes, Air",2015-12-22
Large Recall,Loss of headlights,Exterior Lighting,2015-12-22
Recall,Left or right rear axle shafts may fracture,Power Train,2015-12-22
Recall,"Seat belts may not be anchored/fmvss 209, 210",Seat Belts,2015-12-22
Recall,Fuel delivery module may crack and leak,N/A,2015-12-02
Recall,Engine wiring splices may cause stall,Electrical System,2015-12-02
Large Recall,Fuel tank may crack,"Fuel System, Gasoline",2015-11-24
Recall,Park pawl may fracture due to being overloaded,Power Train,2015-11-24
Recall,Brake controller may not activate trailer brakes,Electrical System,2015-10-27
Large Recall,Fuel tank may leak due to corrosion,"Fuel System, Gasoline",2015-10-27
Recall,Restraint components may be damaged/fmvss/209/225,Child Seat,2015-10-26
Recall,Fuel tank may crack in a crash/fmvss 301,"Fuel System, Gasoline",2015-10-01
Recall,Transmission can shift without pressing brake,Power Train,2015-09-30
Recall,Unexpected braking using adaptive cruise control,Forward Collision Avoidance,2015-09-30
Recall,Rebuilt transmission shift lever may disengage,Power Train,2015-09-29
Large Recall,Axle recall remedy may been performed improperly,Suspension,2015-09-29
Recall,Fuel tank mounting bolts may be loose,"Fuel System, Gasoline",2015-09-28
Recall,Passenger seat belt anchorage/fmvss 210,Seat Belts,2015-08-20
Recall,Second row seat not installed/fmvss 225,Child Seat,2015-07-29
Recall,Parking brake may not fully engage/fmvss 135,N/A,2015-07-24
Large Recall,Engine may continue to run/fmvss 114,Electrical System,2015-07-08
Recall,Incorrect seat belt label/fmvss 209,N/A,2015-06-24
Large Recall,Instrument cluster may be inoperative/fmvss 101,Electrical System,2015-06-24
Recall,Fuel tank or vapor lines may degrade from heat,"Fuel System, Gasoline",2015-06-02
Large Recall,Loss of electric power steering assist,Steering,2015-06-02
Do Not Drive,Driver side frontal air bag may rupture,Air Bags,2015-05-28
Large Recall,Passenger front air bag inflator may rupture,Air Bags,2015-05-28
Recall,Steering intermediate shaft may separate,N/A,2015-05-12
Large Recall,Loss of power steering assist from salt corrosion,Steering,2015-04-28
Recall,Loose or missing underbody heat shields,Structure,2015-04-28
Recall,Park lamps too bright with headlights on/fmvss 108,Exterior Lighting,2015-04-27
Large Recall,Doors may unexpectedly open,Latches/locks/linkages,2015-04-24
Recall,Engine shutdown in emergency vehicles,Power Train,2015-03-25
Large Recall,Interior door handle return spring may unseat,Structure,2015-03-24
Recall,Vacuum pump relay may overheat,N/A,2015-03-24
Recall,Improper fit of replacement steering gears,N/A,2015-03-03
Recall,Improper torque of seat belt bolts,Seat Belts,2015-01-30
Large Recall,Interior door handle return spring may unseat,Structure,2015-01-28
Recall,Improper plating on fuel pump may result in stall,"Fuel System, Gasoline",2015-01-09
Recall,Inadvertent shut down (start/stop switch location),Electrical System,2015-01-09
Recall,Reinforcement bracket missing from fuel tank,"Fuel System, Gasoline",2016-12-29
Recall,Oil leak from turbocharger,Engine And Engine Cooling,2016-12-22
Recall,Rear seat back pivot pins may fail,Seats,2016-12-05
Large Recall,Front seat belts may not restrain occupants,Seat Belts,2016-12-05
Large Recall,Fuel delivery module may crack and cause fuel leak,"Fuel System, Gasoline",2016-10-26
Recall,Drain valve opening may cause fuel leak,N/A,2016-10-26
Recall,Oil leak from engine cooler hose,Engine And Engine Cooling,2016-10-26
Recall,Incorrect headlight lenses/fmvss 108,Exterior Lighting,2016-10-12
Recall,"Software affecting stability control/fmvss 126,135",N/A,2016-10-12
Recall,Hatchback can be unlatched with one button press,Latches/locks/linkages,2016-09-28
Recall,Panoramic roof panel may separate from vehicle,Visibility,2016-09-27
Large Recall,Doors may unexpectedly open,Latches/locks/linkages,2016-09-06
Recall,Fuel pump malfunction may cause engine stall,"Fuel System, Gasoline",2016-08-25
Recall,Power window force may be excessive/fmvss 118,Electrical System,2016-08-24
Recall,Engine may stall due to fuel pump contamination,Engine And Engine Cooling,2016-08-24
Recall,Electronic stability control systems/fmvss 126,N/A,2016-06-29
Recall,"Driver seat back frame may fail/fmvss 202, 207",Seats,2016-06-28
Recall,Loss of motive power from pinion gear wear,Power Train,2016-06-28
Do Not Drive,Passenger frontal air bag inflator may rupture,Air Bags,2016-05-31
Recall,Child seat tether anchor blocked/fmvss225,Child Seat,2016-05-24
Large Recall,Master cylinder rear cup seal leak,"Service Brakes, Hydraulic",2016-05-24
Large Recall,Unexpected transmission downshift,Power Train,2016-04-27
Recall,"Driver seat riser weld may fail/fmvss 207,210",Seat Belts,2016-04-27
Recall,Rear suspension toe link may be improperly welded,Suspension,2016-04-26
Recall,Possible damage to tire inner sidewall,Tires,2016-04-26
Recall,Air bag second stage may not inflate properly,Air Bags,2016-04-26
Recall,Side curtain air bag assembly improperly installed,Air Bags,2016-04-04
Recall,Parking brake cable connector clip may fail,N/A,2016-03-31
Recall,Engine block heater may overheat,Engine And Engine Cooling,2016-03-31
Recall,Restraint system may misclassify front passenger,Air Bags,2016-02-25
Recall,Rear seat belt buckle may not latch,Seat Belts,2016-02-25
Recall,Loss of trailer braking function,Electrical System,2016-01-28
Large Recall,Driver side air bag inflator may rupture,Air Bags,2016-01-25
Recall,Inflator component may detach during deployment,Air Bags,2017-12-18
Recall,"Vehicle may roll away/fmvss 102, 114",Electrical System,2017-12-18
Do Not Drive,Driver side air bag inflator may rupture,Air Bags,2017-12-11
Do Not Drive,Passenger frontal air bag inflator may rupture,Air Bags,2017-12-11
Recall,"Second row outboard seat/fmvss 202,207,210",Seats,2017-12-01
Recall,Hydraulic brake fluid leak,"Service Brakes, Hydraulic",2017-11-29
Large Recall,Front seat adjuster pivot bolts may loosen,N/A,2017-11-29
Recall,Transmission shift linkage may disconnect,Power Train,2017-10-24
Recall,Water may enter the trailer tow module,Electrical System,2017-10-23
Recall,Unintended vehicle movement,Power Train,2017-10-23
Recall,Cylinder heads incorrectly machined,N/A,2017-10-23
Large Recall,Doors may open while driving,Latches/locks/linkages,2017-10-16
Recall,Tie rod may loosen,N/A,2017-09-25
Recall,Rivets missing from the roof braces,Structure,2017-09-25
Recall,"Insufficient seat and seat belt weld/fmvss 210,207",Seat Belts,2017-09-25
Large Recall,Left rear seat belt may detach/fmvss 210,Seat Belts,2017-08-28
Recall,Hub unit bearing may allow wheel detachment,Suspension,2017-08-28
Recall,"Insufficient seat frame weld/fmvss 207, 210",Seat Belts,2017-08-28
Recall,Passenger frontal air bag inflator may rupture,Air Bags,2017-08-28
Recall,Loss of power assisted steering,N/A,2017-08-28
Recall,Seat and seat belt mounting bolts may fracture,N/A,2017-07-25
Recall,Torque converter connection may fail,Power Train,2017-07-06
Recall,Driver's knee air bag may not inflate/fmvss 208,Air Bags,2017-06-26
Recall,Second row seats may be missing attachment studs,Seats,2017-06-26
Large Recall,Driveshaft coupling may fail,Power Train,2017-06-26
Recall,Door may unlatch in a side impact collision,Latches/locks/linkages,2017-05-22
Recall,"Driver seat back frame may fail/fmvss 202, 207",N/A,2017-05-22
Recall,Vehicle may roll when in park/fmvss 102/114,Power Train,2017-03-31
Recall,Improperly welded windshield header/fmvss 214,Structure,2017-03-27
Large Recall,Engine cylinder head may leak oil,Engine And Engine Cooling,2017-03-27
Large Recall,Doors may unexpectedly open,Latches/locks/linkages,2017-03-27
Recall,Driveline vibrations may fracture transmission,Power Train,2017-03-27
Recall,Driver's door may unlatch in a crash/fmvss 206,Latches/locks/linkages,2017-03-13
Recall,Frontal air bag may not deploy properly/fmvss 208,Air Bags,2017-02-27
Recall,Instrument cluster may fail to illuminate/fmvss 102,Electrical System,2017-01-24
Recall,Improper weld joints on floor pan,Structure,2017-01-24
Do Not Drive,Passenger frontal air bag inflator may rupture,Air Bags,2017-01-10
Large Recall,Block heater cable splice connector may corrode,N/A,2018-12-18
Recall,Transmission clutch slip and fluid leak,Power Train,2018-11-28
Recall,Unsecured park pawl may cause unintended movement,Power Train,2018-11-14
Recall,Seats are missing j-channel reinforcement brackets,Seats,2018-11-14
Recall,Driver air bag module plastic cover may detach,Air Bags,2018-11-14
Recall,Fuel pressure sensor may leak fuel,N/A,2018-11-14
Recall,Air bag may not fully inflate during deployment,Air Bags,2018-11-01
Large Recall,Stuck canister purge valve may cause stall,"Fuel System, Gasoline",2018-10-22
Recall,Rear wing hydraulic fluid leak may cause fire,N/A,2018-10-09
Recall,Incorrect length of door striker bolts/fmvss 206,Latches/locks/linkages,2018-09-11
Recall,Charge cord may overheat causing fire,Equipment,2018-09-10
Large Recall,Fire after seat belt pretensioner deployment,Seat Belts,2018-08-31
Recall,Alternator and starter cables may be loose,Electrical System,2018-08-20
Recall,Improperly heat treated front wheel studs,N/A,2018-07-16
Large Recall,Unintentional rollaway due to detached shift cable,Power Train,2018-07-16
Recall,Fuel pump assembly welds may fracture causing leak,"Fuel System, Gasoline",2018-06-12
Recall,Brake hose corrosion may cause brake fluid leak,"Service Brakes, Hydraulic",2018-06-11
Recall,Torque converter connection may fail,Power Train,2018-06-11
Recall,Improperly adjusted parking brake cable/fmvss 105,N/A,2018-05-16
Recall,Incorrect brake fluid cap/fmvss 135,Equipment,2018-05-14
Recall,Water may enter the trailer tow module,Electrical System,2018-04-30
Recall,Missing roll pin causing loss of park function,Power Train,2018-04-04
Large Recall,Shifter position may incorrectly indicate 'park',Power Train,2018-04-04
Large Recall,Steering wheel may detach,Steering,2018-03-12
Recall,Transmission clutch slip and fluid leak,Power Train,2018-03-12
Recall,Key can be removed without being in park/fmvss 114,Electrical System,2018-03-01
Recall,Incorrect brake hoses may chafe,"Service Brakes, Hydraulic",2018-02-12
Recall,Second row power windows may not reverse/fmvss 118,Visibility,2018-01-16
Do Not Drive,Passenger frontal air bag inflator may explode,Air Bags,2018-01-11
Do Not Drive,Driver side air bag inflator may explode,Air Bags,2018-01-11
Do Not Drive,Passenger frontal air bag inflator may explode,Air Bags,2018-01-11
Recall,Damaged spare tire can lose air pressure or detach,Tires,2019-12-18
Large Recall,Abs valve may remain open after abs event,"Service Brakes, Hydraulic",2019-12-18
Large Recall,Fire after seat belt pretensioner deployment,Seat Belts,2019-12-11
Recall,Fuel lines may chafe together causing fuel leak,"Fuel System, Gasoline",2019-12-04
Large Recall,Tailgate may open unexpectedly,Latches/locks/linkages,2019-12-04
Recall,Intermittent or inoperative tail lights,Exterior Lighting,2019-11-21
Large Recall,Excessive sealant adhesive on battery cable,Electrical System,2019-11-12
Recall,Daytime running lights may not dim,Exterior Lighting,2019-11-12
Recall,Battery cable may chafe and cause electrical short,Electrical System,2019-11-12
Recall,Rear toe link fasteners may be loose,Suspension,2019-10-28
Large Recall,Driveshaft coupling may fail,Power Train,2019-10-25
Recall,Seat belt webbing may detach from anchor,Seat Belts,2019-10-25
Recall,Blower motor may short,Visibility,2019-10-10
Recall,Wiring harness may contact a/c pulley or belt,Electrical System,2019-09-30
Recall,Premature right rear axle shaft failure,Power Train,2019-09-30
Large Recall,Front seat frames may have exposed sharp edges,N/A,2019-09-11
Large Recall,Steering gear motor may detach,Steering,2019-08-29
Recall,Front brake may drag,"Service Brakes, Hydraulic",2019-08-28
Large Recall,Reduced seat back strength/fmvss 202 & 207,Seats,2019-08-28
Large Recall,Front seat belts may not restrain occupants,Seat Belts,2019-08-12
Recall,Vehicles still in factory mode/fmvss 114/102,Electrical System,2019-08-05
Recall,Improperly assembled front passenger seat belt,N/A,2019-07-10
Recall,Stuck canister purge valve may cause stall,"Fuel System, Gasoline",2019-07-05
Recall,Transmission failure and loss of drive power,Power Train,2019-06-10
Large Recall,Unexpected transmission downshift,Power Train,2019-06-10
Large Recall,Rear suspension toe links may fracture,Suspension,2019-06-10
Large Recall,Unintentional rollaway due to detached shift cable,Power Train,2019-05-13
Recall,Shifter position may incorrectly indicate 'park',Power Train,2019-05-13
Large Recall,Damage to block heater connector may cause fire,N/A,2019-04-08
Recall,Protection from high voltage/fmvss 305,N/A,2019-02-15
Recall,Instrument cluster may go blank on start-up,Electrical System,2019-02-11
Large Recall,Unexpected transmission downshift,Power Train,2019-02-11
Recall,Doors may open while driving,Latches/locks/linkages,2019-02-11
Recall,Unintentional shift out of park,Power Train,2019-02-01
Recall,Failure of hands-off the wheel alerts,Lane Departure,2019-01-14
Do Not Drive,Passenger frontal air bag inflator may explode,Air Bags,2019-01-07
Recall,"Insufficient front seat frame weld/fmvss 207, 210",N/A,2019-01-02
Recall,Air bag missing first stage booster/fmvss 208,Air Bags,2020-12-17
Recall,Motor mount fasteners may loosen over time,N/A,2020-12-17
Recall,Engine cover may be excessively hot,N/A,2020-12-17
Recall,Fuel tank inlet check valve not welded properly,"Fuel System, Gasoline",2020-11-24
Recall,Front knuckles may fracture,N/A,2020-11-20
Recall,Transmission oil cooler line may contact ac pulley,Power Train,2020-11-10
Recall,Link shaft brackets may fracture,Power Train,2020-11-10
Recall,Drive shaft may fracture on weld seam,Power Train,2020-11-10
Recall,Engine may overheat,Engine And Engine Cooling,2020-10-15
